,Parent,Avg_Monthly_Supply,Parent Agency No.,Name
99,D1111,1053.0882352941176,D1111,Orange County Disability Awareness Council
100,D1112,1827.125,D1112,Orange United Methodist Church  
101,D1113,2248.75,D1113,Our Teams Our Children  
102,D1114,7303.285714285715,D1114,Oxford Speaks Life Church House of Ministries
103,D1115,31906.78875,D1115,DD-Parkwood Elementary PTA  
104,D1116,8507.47619047619,D1116,Pettiford Grove Baptist Church  
105,D1117,14504.727083333333,D1117,Pine Grove Baptist Church  
106,D1118,2745.25,D1118,Positive Directions  
107,D1119,693.7142857142857,D1119,Rainbow 66 Storehouse Inc  
108,D1120,4900.167647058824,D1120,RAM Organization  
109,D1121,159.625,D1121,Reality Ministries  
110,D1122,1258.7058823529412,D1122,Recovery Connections of Durham  
111,D1123,10468.5,D1123,Rogers-Eubanks Neighborhood Association (RENA)
112,D1124,1963.1739130434783,D1124,Rougemont Food Pantry Rougemont UMC
113,D1125,2231.6363636363635,D1125,Roxboro Church of God  
114,D1126,9137.369583333333,D1126,Russell Memorial CME Church  
115,D1127,8733.791666666666,D1127,Salvation Army-Durham  
116,D1128,249.8181818181818,D1128,CSFP - St Mark's AME Zion  
117,D1129,8046.617916666666,D1129,Salvation Army-Henderson  
118,D1130,4724.2411764705885,D1130,Seed Time & Harvest Fellowship  
119,D1131,10490.361666666666,D1131,Shiloh Baptist Church  
120,D1132,7879.888749999999,D1132,Southside Church of Christ COST Comm Outrch Specl Team
121,D1133,2552.7083333333335,D1133,St. John United Holy Church  
122,D1134,3270.625,D1134,St. John's House of Refuge  
123,D1135,973.6666666666666,D1135,St. Joseph AME Church  
124,D1136,23765.545454545456,D1136,St James Missionary Baptist  
125,D1137,5145.607177033493,D1137,St. James of Durham Baptist Church
126,D1138,27366.454545454544,D1138,DD-St. Julia Catholic Church  
127,D1139,491.85714285714283,D1139,Help and Hope Univeral  
128,D1140,2534.2083333333335,D1140,Sunrise Recovery Resource Center/Alcohol Drug Council
129,D1141,4421.3,D1141,TABLE NC  
130,D1142,20624.13625,D1142,The Help Center Inc  
131,D1143,6447.65,D1143,The Lord House Prophetic  
132,D1144,574.6666666666666,D1144,Triangle Empowerment Center Inc  
133,D1146,61103.395833333336,D1146,TROSA  
134,D1147,7008.583333333333,D1147,CSFP - Union Baptist  
135,D1148,1067.3333333333333,D1148,United Nations Worship Center  
136,D1149,20616.469696969696,D1149,DD-Upon This Rock Ministry  
137,D1150,8256.967105263158,D1150,Urban Ministries Food Pantry  
138,D1151,198.25,D1151,SFSP - Walltown Children's  
139,D1153,448.0,D1153,Victorious Life Empowerment  
140,D1154,1237.2916666666667,D1154,Volunteers of America  
141,D1155,487.77777777777777,D1155,Warren-Vance Community Health Center Inc
142,D1156,2997.318181818182,D1156,West Chatham Food Pantry  
143,D1157,16790.16363636364,D1157,White Rock Baptist Church  
144,D1158,644.2,D1158,William Hawkins Yth Ministries Project LIFT
145,D1159,11718.252380952381,D1159,Word Harvest International Word Empowerment Church
146,D1160,113029.57930555556,D1160,Word of Life Christian Center
147,D1161,39129.8,D1161,DD-Young Memorial  
148,D1162,10117.837916666665,D1162,Zion Christian Center  
149,D1163,1405.2307692307693,D1163,BP - Epworth United Methodist  
150,D1164,9600.5,D1164,DD-Bright Sun  
151,D1165,8803.5,D1165,DD-Calvary UMC Cristo Vive
152,D1166,7009.444444444444,D1166,DD-Destiny Church of God  
153,D1167,10866.681818181818,D1167,DD-Durham Spanish SDA Church  
154,D1168,6307.4,D1168,DD-Gaines Chapel AME Church  
155,D1169,8876.59090909091,D1169,DD-Glenn's Grove  
156,D1170,9793.0,D1170,DD-Gomains Avenue  
157,D1171,8209.795454545454,D1171,DD-Grow To Life  
